Event_ID,Source,Date,Time,Flight_Number,Orig,Dest,Fleet,Ship_Number,EDR_EQUIP,EDR_Min,EDR_Peak,Location,Turb_Level,G_Load,,Injury_1,Recordable_1,OSHA_1,Injury_2,Recordable_2,OSHA_2,Injury_3,Recordable_3,OSHA_3,Injury_4,Recordable_4,OSHA_4,Injury_5,Recordable_5,OSHA_5,Injury_6,Recordable_6,OSHA_6,Altitude,Flight_Phase,P1,P2,P3,P3A,P4,P5,P6,Comments
TRB16001,Unknown,1-Jul-16,,0201,JNB,ATL,777,7103,,,,-5.49358635877378/-7.49392903404095,1,1.203125,0.92578125(0.10180351333023),-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,-5.49358635877378/-7.49392903404095,34311.13793,Cruise,,,,,,,,"STARS report with turb, no injury report, no pilot report InFlight will contact Flight Attendant. FOQA did not detect turbulence on this flight. FOQA flight record 5848791."
TRB16002,,2-Jul-16,03JUL16 0100Z,2004,LAX,SLC,320,3215,,,,,,,,FA,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not detect turbulence on this flight. FOQA flight record 5867748.
TRB16003,,5-Jul-16,,0853,DTW,RSW,M90,9231,,,,,,,,FA,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,Conflicting reports on question F4. FOQA did not detect turbulence on this flight. FOQA flight record 5867748.
TRB16004,,5-Jul-16,05JUL160445Z,0083,CDG,ATL,777,7101,,,,33.6219925114762/-84.060164927286,1,1.32421875,1.11328125(0.103516007710595),FA,Y,Y,,,,,,,,,,,,,,,,3038.549444,Approach,,,,,,,,FOQA did not detect turbulence during this flight. FOQA flight record 5911714.
TRB16005,,6-Jul-16,,2128,DTW,MCO,757,6710,,,,,,,,FA,N,N,,,,,,,,,,,,,,,,,,,,,,,,,Discrepancy on flight leg as to DTW-MCO or MCO-DTW. Non-FOQA aircraft.
TRB16006,FOQA,6-Jul-16,06JUL160156181Z,0603,MSP,JAC,757,0678,,,,45.9382314293007/-102.732228185402,3,1.710753441,-0.134033918380737(0.44270113163408),0,,,,,,,,,,,,,,,,,,38047.637,Cruise,3,,Y,,Y,,Y,"Pilot report of severe, Flight deviated NW prior to the event (WX), We never received so much as a text msg from dispatch regarding our deviation to the north. There needs to be better communication from dispatch, our Surfaces are too slow and old. I was unable to get my turb plots on the dl weather app. FOQA flight record 5876177."
TRB16007,,7-Jul-16,,0060,GIG,ATL,767,1808,,,,,,,,FA,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not detect turbulence during this flight. FOQA flight record 5886700.
TRB16008,FOQA,8-Jul-16,23.7843,0085,CDG,ATL,330,3315,,,,33.7456800670654/-83.961791243,1,1.3046875,0.7734375(0.120154711188891),FA,N,N,,,,,,,,,,,,,,,,7883.382,Descent,1,,,,,,,FOQA flight record 5874364.
TRB16009,,9-Jul-16,,0124,BOS,AMS,767,1819,1.00,,0.06,,,,,FA,N,N,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not detect turbulence during this flight. FOQA flight record 5914361.
TRB16010,,9-Jul-16,,1305,ATL,RSW,737,3821,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not detect turbulence on this flight. FOQA flight record 5876000.
TRB16011,,10-Jul-16,,0425,JFK,MSP,320,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not detect turbulence during this flight. FOQA flight record.
TRB16012,FOQA,11-Jul-16,4.38788,0110,EZE,ATL,767,1816,,,,-0.108061931080314/-71.5681338157979,1,1.446427822,0.663460731506348(0.177204757391193),FA,,,,,,,,,,,,,,,,,,34019.941,Cruise,1,,,,,,Y,"Pilot reports FA stated that when I told them to sit down, they left the cart sitting out and were putting it away when it tipped over trapping FA hand between the cart and a beverage tray in another cart. FOQA flight record 5902858)"
TRB16013,,12-Jul-16,,0514,SAN,ATL,757,6710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-FOQA aircraft.
TRB16014,,13-Jul-16,,0276,MNL,NRT,747,6308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flight not captured by FOQA.
TRB16015,,13-Jul-16,,0276,NRT,DTW,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRB16016,,14-Jul-16,,0526,DCA,ATL,M90,9214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not capture this flight.
